date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
14-09-2020,AngelaPapi,veteran,55,994,511,723823,44,4227,3360454,4800
14-09-2020,Annanana,private,102,635,427,459658,20,3450,1863565,4660
14-09-2020,Anraka,officer,28,1455,470,593870,26,4083,3238093,4800
14-09-2020,Berserkresse,private,87,894,649,531416,22,2364,1829022,3340
14-09-2020,bnv,private,65,739,531,586342,28,3437,3353778,4446
14-09-2020,Breyn,leader,14,1614,864,711084,52,4188,2895842,4754
14-09-2020,ChacoKevy,officer,17,1265,590,582696,32,4007,3288719,4800
14-09-2020,deathmonk,private,79,220,148,321139,1,4339,2163344,4600
14-09-2020,DocStrange,private,64,1477,957,607354,30,3540,2766246,3786
14-09-2020,Dom,veteran,114,906,632,661614,36,4127,3635590,4800
14-09-2020,Drizzt4Ever,officer,27,1501,788,658362,40,4240,2898099,4200
14-09-2020,F33T,private,50,984,532,613646,27,3654,3662273,4800
14-09-2020,Faeyla,private,170,679,571,522370,17,3362,1597967,3680
14-09-2020,Fisichella,veteran,22,1545,797,539975,35,3600,3519512,4784
14-09-2020,Foxgloves,officer,17,1164,551,598523,31,2398,1464126,3000
14-09-2020,Imper0s,officer,161,1141,560,544355,25,1862,1035478,2096
14-09-2020,IrishWrath,officer,34,921,593,634801,37,4540,2895842,3896
14-09-2020,KARMA,officer,74,1195,558,539747,32,3978,3000871,4600
14-09-2020,Kefass,private,225,404,191,483997,12,2926,1402720,3802
14-09-2020,Kobun,private,205,317,345,514612,20,3961,3700215,4324
14-09-2020,Mbad,veteran,85,637,644,569606,20,3364,1895342,3238
14-09-2020,Mikaeus,private,144,629,599,611211,13,3899,3003786,4792
14-09-2020,Minimoose27,private,42,991,432,611511,33,3662,2738974,4800
14-09-2020,MrMilanna,veteran,63,772,421,590515,26,3858,3817485,4800
14-09-2020,MrMoJoRisin,private,67,340,332,643835,24,3528,3585394,4728
14-09-2020,Psykosis,veteran,225,791,590,496963,17,3432,2296811,4800
14-09-2020,SpeedyMoon,private,176,257,282,330775,0,3900,870024,4794
14-09-2020,uncleb,private,176,924,626,567919,18,3386,3028925,4326
14-09-2020,VladderPfahler,private,42,889,443,706037,38,3318,2908387,4612
14-09-2020,WhoTFCars,private,82,1248,592,587155,30,4150,3229334,4800
